emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85,emb_86,emb_87,emb_88,emb_89,emb_90,emb_91,emb_92,emb_93,emb_94,emb_95,emb_96,emb_97,emb_98,emb_99,emb_100,emb_101,emb_102,emb_103,emb_104,emb_105,emb_106,emb_107,emb_108,emb_109,emb_110,emb_111,emb_112,emb_113,emb_114,emb_115,emb_116,emb_117,emb_118,emb_119,emb_120,emb_121,emb_122,emb_123,emb_124,emb_125,emb_126,emb_127
-0.24307679,0.454951,0.1516327,0.8190718,0.76649225,0.424849,0.2544921,-0.054312643,-0.15271538,1.1303949,0.5415747,0.6360812,-0.17814817,-0.21976249,-0.8164781,0.06786657,-0.19907561,-0.26781404,0.2758936,-0.013491627,0.00013273177,0.9976009,-0.6051354,-0.51458037,0.39661416,-0.3952354,-0.6559121,0.10340935,-0.022020107,-0.8409985,0.9590742,-0.97563106,-0.53016627,-0.10514373,0.36781502,-0.041798025,-0.70164317,-0.0012973197,-0.38017273,-0.63703066,-0.14702435,-0.17728265,0.33805224,0.2701502,-0.8185458,-0.4652102,0.37300754,-0.18936676,0.42955476,0.042825244,-0.61377686,0.67766464,0.3424783,-0.1954789,-0.43842572,0.20584843,-0.55566645,-0.55583227,1.0348558,-0.19925924,0.60250896,-0.44713807,0.14921695,0.18528181,-0.5253299,-0.03585312,-0.55169684,-0.3829487,0.29102206,-0.58608323,-0.62314755,-0.4780615,-0.32976398,0.44700387,-0.58391166,1.3858826,-0.50085497,0.33954912,0.2180562,0.47076175,0.5585596,-0.30113336,0.009416974,-0.8826748,-0.025749575,-1.242234,0.87344325,0.5860561,1.3894655,-0.9423153,-0.039445322,-0.3588009,-0.21421468,0.35882917,0.19328366,-0.16006675,-1.0967624,0.5848372,-0.19733325,0.44845092,-0.68266577,-0.25151134,0.35852474,-0.5098408,-0.5083575,0.092686035,0.23036157,-0.7621519,-0.8011195,0.04319645,0.21766138,0.20558158,0.73378545,0.68461454,-0.35606933,0.9202538,-0.7968106,0.9687534,-0.06338175,0.15473044,0.05719438,1.0818502,0.86017317,0.6521706,0.57926524,-0.13978052,-0.8156577,0.35587946
-0.12633806,0.554321,0.050853297,0.60651374,0.86480165,0.3385239,0.0889209,-0.072275534,0.054183688,1.0823898,0.5033078,0.3238119,0.16886173,-0.185282,-1.2342927,0.4206653,-0.40717256,-0.2006764,0.32462695,0.28666908,0.13264187,1.3069863,-0.5364252,-0.5795112,0.51223856,-0.5209646,-0.6550167,-0.5156721,0.033642024,-1.123453,1.1022038,-0.80768514,-0.73284507,-0.03264964,0.3388015,0.055836998,-0.96080375,0.05892402,0.092124246,-0.7688522,0.15334539,-0.26505694,0.5264494,0.44460627,-0.9455387,-0.7569595,0.7193874,-0.2853123,0.6995061,0.09792579,-0.60436493,0.5599045,-0.12860756,0.18630901,-0.29655698,0.35244992,-0.6555546,-0.4897184,1.1147892,-0.33391532,0.7041411,-0.26269656,-0.018061524,0.31010225,-0.615233,-0.049703203,-0.31857994,-0.37390006,0.36339438,-0.5250219,-0.66272146,-0.7781305,-0.81236035,0.574167,-0.5736141,1.1406755,-0.9086597,0.33443615,0.13277134,0.52293414,0.572486,-0.5123577,0.38823187,-0.62835747,-0.22383718,-1.1160506,0.5857696,0.54618764,1.5041944,-0.72600603,-0.2587491,-0.585387,-0.1236653,0.8534304,0.34548947,0.07950233,-1.5425804,0.5728453,-0.14781861,0.24661842,-0.6713485,-0.53744525,0.9426227,-0.4220335,-0.17440218,0.076110795,0.102451675,-0.856917,-1.0403862,-0.20133132,0.05353031,-0.21200548,1.0503577,0.48837584,-0.6145324,0.96516097,-0.46260548,1.0548322,-0.32876328,-0.1252506,0.069911435,1.130431,0.99478966,1.0502256,0.49988392,0.123944886,-0.8181974,0.12733851
-0.037285473,0.22052988,0.3349246,0.8156895,0.5340919,0.40930164,0.11202516,0.27090764,0.13261391,0.5017752,0.3123555,-0.41928345,0.3387697,-0.23540768,-1.1043841,0.40922523,-0.0962819,-0.20423418,-0.41182,0.064883284,-0.17005248,1.1593347,0.054280195,-0.3140779,0.7980778,-0.8977174,-0.5759977,-1.1571342,0.3271415,-0.57826835,0.7069272,-0.3394267,-0.76107085,0.022095336,0.73218715,-0.0690631,-1.5059836,-0.16267012,0.76514786,0.25422525,0.60167676,-0.3547325,0.7155533,0.10879949,-0.62422276,-0.9125302,0.23915298,-0.28885058,0.44204536,-0.08786763,-0.22869477,0.11922669,-0.40857193,0.30418518,0.07408952,-0.047515128,-0.96135104,-0.23145878,0.22605456,-0.45912987,0.6324396,0.5135284,0.47127646,-0.02101085,0.045710757,-0.019565167,-0.22390932,-0.46552426,0.40663114,-0.6414281,-0.4320276,-0.34923756,-0.44466448,0.58220863,-0.19947894,0.5884743,-1.0969157,0.46868214,0.0385325,-0.25344947,0.46276847,-0.80172276,1.1653445,-0.01736824,-0.23394057,-0.18886927,0.10971799,0.8401362,1.0962297,-0.3960819,-0.42577392,8.806269e-06,0.39190888,0.2986359,0.016905414,-0.087675884,-1.2784852,0.604422,-0.3557129,-0.016569296,-0.975934,-0.65434283,1.5696957,0.05997753,0.09688998,-0.15386268,0.27229947,-0.8115358,-0.78709364,-0.17158961,-0.06929372,-0.20179884,1.0497929,0.53300124,-0.5661094,0.8777876,0.0390174,0.61307454,-0.7087637,-0.3940544,-0.005532077,0.37906206,0.702074,0.45445326,0.37365836,0.15094487,-0.65401554,-0.092019394
0.012020431,0.43432242,0.24696773,0.77560323,0.7919077,0.34508124,0.26575294,0.36802322,0.2119675,0.88010377,0.27189982,0.097828865,0.18161984,-0.18342847,-0.96876746,-0.04715417,-0.34855822,-0.39969432,0.25947708,0.136612,0.018874347,1.0935984,-0.34718335,-0.68565977,0.6642851,-0.65672636,-0.4557,-0.45404205,0.11980182,-1.1950659,0.8294354,-0.45771673,-0.6901972,0.123998135,0.5519888,0.14495695,-0.8265464,0.08882385,-0.19964866,-0.20233802,0.10449198,-0.10353927,0.36731002,0.3698698,-0.90222573,-0.8946723,0.44277844,-0.3517465,0.22932124,-0.085444115,-0.57192624,0.17981346,0.0025720396,0.14802669,0.19614157,0.08377537,-0.59672785,-0.5939181,1.1761203,-0.40756318,0.96987665,0.019027583,0.11577992,0.14627533,-0.59953403,-0.059891947,-0.5004645,-0.3710599,0.498727,-0.6088816,-0.5067564,-0.74645984,-0.77156305,0.6196286,-0.46056655,0.9831258,-0.8016873,0.33508575,-0.0812449,0.39701366,0.84686106,-0.66058177,0.2533855,-0.5122529,-0.22394893,-0.70056516,0.3855468,0.6942328,1.3851658,-0.82762796,-0.39246222,-0.22744714,0.09457361,0.6067769,0.48785207,-0.020420017,-1.2880789,0.7234538,-0.61680216,0.20659263,-0.8603163,-0.7400465,0.8271915,-0.43253887,-0.14775854,-0.32394284,0.16796708,-0.29365295,-0.81546444,-0.06623608,0.39869386,0.058500778,0.88454306,0.71335953,-0.48007125,0.94833577,-0.16735497,1.0249414,-0.7676624,-0.36910388,0.31802955,0.6572594,0.977104,0.846187,0.31786886,-0.14013329,-0.85627663,0.14189003
0.06721414,0.625171,0.06749481,1.1527954,0.69034433,0.27249396,0.029879848,0.56310105,-0.043044966,0.48277187,-0.11159297,-0.24070556,0.26887852,-0.23929223,-0.82277,0.0014532054,-0.0068362025,-0.5274472,-0.12865667,-0.07636133,-0.0018294111,0.93860257,0.0009812956,-0.38939846,0.700145,-0.9028396,-0.39097694,-0.95565903,0.22699448,-0.73580825,0.76093477,-0.22333533,-0.6179547,0.023204684,0.7894882,-0.13233852,-1.2793285,-0.027210899,0.28188244,0.32332987,0.54583484,-0.13208048,0.47736073,0.28199252,-0.8569645,-1.1303658,0.15884355,0.14061888,0.108861536,-0.31526655,-0.06946613,0.09341578,-0.086195335,-0.057653446,0.5669158,0.062631235,-0.8756634,-0.12794936,0.51878446,-0.67633843,0.98725444,0.26767647,0.6722632,0.077613816,-0.18817647,-0.09296702,-0.57671404,-0.037909552,0.17861064,-0.79219776,-0.018178992,-0.14462854,-0.007995699,0.70824575,-0.13248481,0.79004276,-1.1397003,0.3296983,-0.013980194,-0.3615591,0.5493635,-0.8674468,0.68114424,-0.42239824,-0.15545912,-0.3412453,0.08646107,0.49937567,1.0190306,-0.8416648,-0.3592421,-0.20648307,0.39880264,0.27260816,0.51888216,-0.5357999,-1.1121646,0.8078279,-0.058577344,-0.20767547,-0.99631304,-0.81275505,1.2548623,0.15060014,-0.2338823,-0.56012595,0.40434545,-0.27010092,-0.53397954,-0.15165827,-0.02798238,0.19653212,0.803709,0.54327273,-0.92486,0.834491,0.16034333,0.6003972,-0.8275059,-0.7010922,0.17159797,0.07887093,0.9743283,0.62122345,0.34494495,-0.22760412,-0.20813765,0.28024566
0.15365687,0.9268531,0.76995593,1.8756871,0.6750223,0.15831871,0.39609337,1.7000023,-0.09469635,-0.74946016,-1.0599933,-0.608004,0.6857968,-1.0203401,-0.8380253,-1.5192038,0.1040245,-0.52968276,-0.17467757,-0.32362708,-0.15842195,0.142834,1.0196466,-0.7615498,1.2895283,-1.2711593,-0.3573692,-1.4056997,-0.20674038,-1.5350615,-0.31856942,0.7642097,-0.6897475,0.5447335,1.9834169,-0.19461657,-0.7455198,0.124105655,-0.4660647,1.6974878,0.5557143,0.5305844,-0.1589215,-0.12199572,-1.1582452,-2.2900512,-0.37967825,0.05086636,-0.8478532,-0.7816523,-0.036697756,-0.6679449,0.59538776,0.07607605,2.0557747,-0.10414434,-0.9349909,-0.17464769,0.80664754,-1.2771007,2.2652342,1.2825818,0.63608724,-0.55342835,-0.55795527,-0.6981976,-1.185649,0.28076014,0.29745468,-0.86689943,0.6421568,0.21784322,0.25282878,0.92067367,-0.13324279,0.32069814,-1.0558861,0.66429293,-0.86027557,-1.0630354,1.3799728,-1.441446,0.29932028,-0.53921646,0.47692847,0.7318017,-0.52438664,0.1489747,1.144801,-1.4544301,-0.6376443,0.23388278,0.63087153,-0.49366435,0.84369045,-0.7091127,-0.21955653,1.2307194,-0.7482975,0.084922224,-1.7638243,-1.4768289,1.2079849,0.23732196,-0.4500691,-1.8416399,0.7572114,1.8452271,0.20631862,0.5440434,0.70901304,1.1383508,0.4230068,1.3648506,-0.69950414,1.3668656,1.4200578,1.2142979,-1.9393095,-1.199246,0.5480489,-1.1521791,1.0408669,0.5998133,-0.2094249,-1.2017657,0.40652895,0.15005703
-0.0017665677,-0.15789293,0.88533735,0.31033078,-0.11022639,-0.09812281,0.4239842,0.7014394,0.86186194,0.4094162,0.4515031,-1.5326772,0.58949065,0.32591987,-1.02199,0.28396994,-0.041013025,-0.56252164,-0.4229159,0.23117092,-0.08702485,0.8852972,0.4893057,-0.9718041,0.84134656,-0.53508717,-0.08561809,-1.3406144,0.43568262,-0.37397462,-0.39312387,0.34210023,-0.91908455,-0.18094777,0.6699558,0.6497678,-0.6659211,-0.060059678,0.2550543,1.0744243,0.88268214,-0.92354125,0.600795,0.9876747,-0.6861916,-0.86541003,0.6156688,-0.93940336,-0.04258678,0.33148882,-0.02829529,-1.339339,-0.9695986,0.52304476,0.068984434,0.3274209,-1.1699086,-0.26610616,-0.1350523,0.22001271,0.56859934,1.1995329,-0.083043225,-0.5947664,0.1649625,0.20134532,0.5453758,-0.65909034,1.4055902,0.14976329,-0.8709217,-0.5573753,-1.1380703,0.42882115,-0.31148532,-0.23546663,-0.53735775,0.509231,-0.09399178,-0.51681334,1.1418431,-0.951821,1.2417022,0.9587945,0.0062732957,0.3607114,-0.5415972,1.2467222,0.83526796,0.22515516,-1.03279,0.1749914,0.6739203,0.82689744,0.6129046,0.68974745,-1.404035,0.45617294,-1.4164451,0.3020598,-0.5521554,-0.95533586,1.3123288,-0.8066411,1.1145356,-0.42714673,0.36564934,-0.098879255,-0.381187,-0.9283801,-0.19193637,-0.44565794,1.157153,0.42244148,-0.3931354,0.77625364,0.6855499,0.10963432,-2.2928977,-0.50395525,0.5506717,-0.42009583,0.09700783,0.35687745,-0.062159568,0.814013,-0.8243868,-1.159565
-0.2209814,-0.03564725,0.21433337,0.46283707,0.0097875325,0.37789834,0.614913,-0.027364442,0.37655547,0.3678515,0.7197597,0.061673015,-0.6496411,0.10608091,-0.5385104,-0.087819636,0.29493517,-0.13506927,0.11855435,0.062797815,-0.39031532,0.52286905,-0.25090063,-0.23714165,0.16442461,0.08257464,-0.41833678,0.13324186,0.034620244,0.4673718,0.19893901,-0.8976005,-0.7154336,-0.12851067,0.07067867,-0.04441407,-0.51559305,-0.17603344,-0.5378607,-0.3575369,-0.39432332,-0.5787029,0.43069968,0.25319514,-0.3138576,-0.062059775,0.00801167,-0.2523259,-0.031628817,0.5673372,-0.19332743,0.022570657,0.3766997,-0.60800165,-0.6357758,0.244157,-0.6085982,-0.029587274,0.21170269,0.37629393,-0.21460082,-0.09333381,-0.07021263,-0.46991158,-0.10417074,0.29791245,0.0014694134,0.059451204,0.08079966,-0.3348516,-0.77183914,0.04214428,-0.008374219,0.055211604,-0.6213782,1.0532577,-0.36603537,0.18617518,0.31982976,0.07937802,0.6479279,-0.038890082,0.2905151,-0.13190866,0.2529036,-0.9906408,0.64130163,0.58391815,0.96913487,-0.54286003,-0.08225496,-0.4067042,0.12689207,0.18711202,-0.120034814,0.47819006,-0.61862594,0.37733483,-0.3326951,0.6487217,-0.20601285,0.10079167,0.45843288,-0.47878012,0.2522985,0.41663837,0.37924823,-0.48448816,-0.41967055,-0.00920866,-0.22300088,0.019413987,0.55330676,0.4127094,0.23389967,0.413491,-0.7808482,0.44102886,-0.23621458,0.3793753,0.08448551,0.36797544,0.40942743,0.15229677,-0.052108582,-0.030410966,-0.30306885,-0.59417325
-0.15133247,0.43686897,0.31278563,0.7806438,0.776339,0.4459667,0.2955367,0.17257538,0.11342806,1.0325114,0.40411663,0.14949803,0.09704814,-0.2622761,-1.0798718,0.29175884,-0.24890931,-0.41356602,0.07659065,0.12037442,0.08433329,1.148942,-0.39297676,-0.5754965,0.5033706,-0.59281874,-0.594113,-0.42092174,0.15020712,-1.0400542,0.8742362,-0.7349307,-0.7719234,-0.04173456,0.5669433,0.17747498,-0.86723673,0.024622414,-0.04936826,-0.23176242,0.2487118,-0.33226752,0.49569288,0.42890975,-0.93318534,-0.7307444,0.5520371,-0.1584332,0.58844805,0.08018408,-0.5595991,0.3405807,-0.054096565,0.13804376,-0.113731906,0.16753049,-0.7920659,-0.6092735,0.8617399,-0.20715512,0.6908836,-0.14491042,0.13090567,0.15679976,-0.4140609,0.028341956,-0.32028025,-0.3345602,0.49998835,-0.51736075,-0.6357259,-0.67245,-0.54752684,0.5688559,-0.5097551,1.0364707,-0.7884427,0.38358775,0.024248911,0.39229414,0.66319567,-0.55440336,0.38791904,-0.60684335,-0.12098451,-0.7732247,0.3498022,0.579507,1.566201,-0.71629167,-0.30777517,-0.2865502,-0.050216183,0.5222888,0.32938865,-0.12721826,-1.3352622,0.52946115,-0.34992275,0.31362543,-0.7717789,-0.49784502,0.8832359,-0.43395814,-0.1091144,-0.16633505,0.25062484,-0.71549076,-0.87643325,-0.22804251,0.10417276,0.12438562,0.9113037,0.6523582,-0.6810245,1.022657,-0.5166963,0.8794242,-0.59369385,-0.21341245,0.34187704,0.7761828,0.86685586,0.5695868,0.4645376,-0.12950945,-0.8563417,0.1270002
0.2145111,0.010494836,0.84600455,1.5426859,0.31664196,0.23414119,0.11507335,1.8305306,0.89511704,-0.73957765,-0.72530687,-1.5960803,0.5846935,-0.43484706,-1.0144244,-0.9076678,0.37431243,-0.7818798,-0.86474967,0.036996208,0.02418217,0.08244552,1.12147,-0.46553707,1.5078033,-1.087634,0.005592458,-1.7275157,-0.18804608,-0.787887,-0.6914598,0.7305121,-1.18113,0.5629008,2.1266363,0.29652715,-0.56266534,0.26512045,-0.2077302,2.588016,0.73473966,-0.046577334,0.1084217,0.21118252,-0.8534111,-2.0179193,-0.17308356,-0.5860923,-0.9154777,-0.48005217,0.1769607,-1.3156288,-0.0057603717,0.33315825,2.0970616,0.04839585,-1.0011023,0.123239785,0.18074134,-1.0897187,1.3452958,1.1417774,0.4698744,-0.5442838,0.16631317,0.038881116,-0.6262717,0.3444625,0.23532197,-0.93838525,0.24175419,0.3957538,0.18120119,1.1607339,0.17810759,-0.5267107,-1.2926487,0.037673436,-0.53144443,-1.5069635,1.4426726,-1.1459283,1.2631873,0.26757824,0.12922233,1.3916488,-0.9802468,0.7362379,1.0229648,-0.7112359,-0.6171293,0.74652123,1.3070079,-0.76469934,0.32033485,-0.16913828,-0.57267433,1.1189291,-1.174444,-0.12196139,-1.7499928,-1.5957974,1.4739152,-0.21906078,0.44328922,-1.1485002,0.8976712,1.0871071,0.12943257,-0.1876609,0.008858308,1.0444661,0.8666182,0.8204768,-0.83849055,0.9085064,1.1329885,0.16443233,-2.3080893,-1.4252933,1.128665,-1.9179769,0.932948,-0.22014162,-0.36227593,0.07203895,0.040749174,-0.42770302
